OBJECTID,PULAU,PEJABAT,ID_PROVINSI,PROVINSI,ID_KABUPATEN,KABUPATEN,KECAMATAN,KELURAHAN,JENIS_IZIN,BADAN_USAHA,NAMA_PERUSAHAAN,KODE_WIUP,SK_IUP,TANGGAL_BERLAKU,TANGGAL_BERAKHIR,KEGIATAN,LUAS_SK,KOMODITAS,CNC,GENERASI,KODE_WIL,LOKASI,GEOMETRY,STATUS_IUP
130177.0,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,71,KOTA PANGKAL PINANG,,,IUP,PT,TIN INDUSTRI NASIONAL,3119712112014003,19/1/IUP/PMDN/2023,2023-03-13,2033-04-13,OPERASI PRODUKSI,200.0,TIMAH,CNC-19,,,LAUT PASIR PADI,"POLYGON ((106.21388888899997 -2.120277778000002, 106.21388888899997 -2.1021111109999993, 106.22305555600002 -2.1021111109999993, 106.22305555600002 -2.120277778000002, 106.21388888899997 -2.120277778000002))",AKTIF
2290.0,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,05,BANGKA BARAT,JEBUS,,IUP,PT,TIMAH TBK,3119052112014137,188.44/1029/DPE/2016,2016-10-25,2025-07-20,OPERASI PRODUKSI,680.3,TIMAH,CNC-2,,1486,S. BEMBANG / PEBUAR-TAYU KETAP KEC. JEBUS,"POLYGON ((105.37084707600002 -1.699488873000007, 105.370849529 -1.6933361110000078, 105.37344722400002 -1.693336113999976, 105.37344722400002 -1.6919694399999798, 105.37966944800002 -1.6919694470000195, 105.379669444 -1.688938888999985, 105.38153610900002 -1.6889388920000101, 105.38153610900002 -1.687877775000004, 105.38622499899998 -1.687877775000004, 105.38622500000002 -1.6830472230000169, 105.38622510699997 -1.6830447429999822, 105.395666076 -1.683047873000021, 105.39566907599999 -1.6805698730000245, 105.39886607599999 -1.680572873000017, 105.39886907599998 -1.6747308729999872, 105.403794076 -1.6747308729999872, 105.403794076 -1.6696418729999891, 105.41089407599998 -1.6696418729999891, 105.41089407599998 -1.6756028730000025, 105.41675207600002 -1.675605872999995, 105.41675207600002 -1.6697088729999905, 105.42695507600001 -1.6697108729999854, 105.42695207600002 -1.6731108729999846, 105.42175007600002 -1.6731108729999846, 105.42174707599997 -1.6793778730000213, 105.41715507599997 -1.679374872999972, 105.41713607600002 -1.6815558729999793, 105.40544407599998 -1.6815498729999945, 105.40544407599998 -1.6858728729999939, 105.40068907599999 -1.6858728729999939, 105.40068907599999 -1.6898418729999776, 105.39283307599999 -1.6898388729999851, 105.392830076 -1.6994978729999843, 105.37084707600002 -1.699488873000007))",KADALUARSA
3374.0,SUMATERA,BUPATI,19,KEPULAUAN BANGKA BELITUNG,03,BANGKA SELATAN,TOBOALI,TOBOALI,IUP,PT,BANGKA PRIMA TIN,3119032112014020,188.45/245.C/DPE/2013,2013-11-08,2033-11-08,OPERASI PRODUKSI,498.6,BIJIH TIMAH,CNC-2,,KB01,"DESA TOBOALI, KEC. TOBOALI, KAB. BANGKA SELATAN","POLYGON ((106.49473599999999 -3.1192030000000273, 106.501328 -3.1192030000000273, 106.501328 -3.1228439999999864, 106.505806 -3.1228439999999864, 106.505806 -3.1265389999999798, 106.52104400000002 -3.1265389999999798, 106.52104400000002 -3.139413999999988, 106.49473599999999 -3.139413999999988, 106.49473599999999 -3.1192030000000273))",AKTIF
271.0,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,00,BANGKA TENGAH,,,IUP,PT,TIMAH TBK,2119002112014024,188.44/1028/DPE/2016,2016-10-25,2025-07-20,OPERASI PRODUKSI,689.4,TIMAH DMP,CNC-1,,DU 1526,KOTA PANGKALPINANG & KAB. BANGKA TENGAH,"POLYGON ((106.08979599999998 -2.183242000000007, 106.08979599999998 -2.1874649999999747, 106.08637099999999 -2.1874659989999827, 106.08637199999998 -2.1943840000000137, 106.09392206199999 -2.1943832160000056, 106.093922222 -2.1943888879999918, 106.09392221899998 -2.196772220000014, 106.09479722600003 -2.1967722190000245, 106.09480066700002 -2.2018275830000107, 106.090480673 -2.2018307739999727, 106.09048000000001 -2.199393999999984, 106.08544599999999 -2.199393999999984, 106.08544635499999 -2.203064669000014, 106.08318427799998 -2.2030663319999917, 106.08318333800003 -2.2124833290000083, 106.07821979699997 -2.2124833290000083, 106.07821899999999 -2.2047749999999837, 106.08026899999999 -2.2047749999999837, 106.08026799999999 -2.1993759999999725, 106.078668 -2.1993759999999725, 106.078667 -2.1863720000000058, 106.08171399999998 -2.1863720000000058, 106.08171299899999 -2.172001998999974, 106.07609500000001 -2.172001998999974, 106.07609400000001 -2.1640170009999906, 106.07906099899998 -2.1640160000000037, 106.07906099899998 -2.1603269999999952, 106.08644099999998 -2.1603259999999977, 106.08644099999998 -2.165065000000027, 106.09440599999999 -2.1650639999999726, 106.09440699999999 -2.179163000000017, 106.09626942400001 -2.179163000000017, 106.09626783300001 -2.1791674720000174, 106.096270775 -2.1832410989999858, 106.08979599999998 -2.183242000000007))",KADALUARSA
158787.0,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,05,BANGKA BARAT,JEBUS,,IUP,PT,TIMAH TBK,3119052112014136,188.44/1052/DPE/2016,2016-10-25,2025-07-20,OPERASI PRODUKSI,2234.0,TIMAH,CNC-2,,,S. BULUH-SEMULUT KEC. JEBUS,"POLYGON ((105.65020833300002 -1.646477778000019, 105.65020829999997 -1.6486249999999814, 105.6508222 -1.64863059999999, 105.6508222 -1.6533332999999857, 105.66148329999999 -1.6533332999999857, 105.66148329999999 -1.6573889000000008, 105.65264439999999 -1.6573889000000008, 105.65264444399998 -1.6601083329999824, 105.6503333 -1.6601082999999903, 105.6503333 -1.6629778000000215, 105.64863889999998 -1.6629778000000215, 105.64863889999998 -1.6639777999999978, 105.64636109999998 -1.6639777999999978, 105.64636109999998 -1.6532611000000088, 105.64942780000001 -1.6532611000000088, 105.64942780000001 -1.6476638999999977, 105.63323609999998 -1.6476638999999977, 105.63323609999998 -1.6438638999999853, 105.62197780000002 -1.6438638999999853, 105.62197780000002 -1.654313899999977, 105.6109917 -1.654313899999977, 105.6109917 -1.6580917, 105.60613890000002 -1.6580917, 105.60613890000002 -1.660141699999997, 105.59615559999997 -1.660141699999997, 105.59615559999997 -1.6626555999999937, 105.5932611 -1.6626555999999937, 105.5932611 -1.6721138999999994, 105.60615280000002 -1.6721138999999994, 105.60615280000002 -1.676555599999972, 105.6105111 -1.676555599999972, 105.6105111 -1.6874361000000135, 105.61504719999999 -1.6874361000000135, 105.61504719999999 -1.69096669999999, 105.5941889 -1.69096669999999, 105.5941889 -1.6873138999999924, 105.58861669999999 -1.6873138999999924, 105.58861669999999 -1.6782527999999957, 105.58605 -1.6782527999999957, 105.58605 -1.6717944000000102, 105.58072220000003 -1.6717944000000102, 105.58072220000003 -1.6617916999999807, 105.55947220000002 -1.6617916999999807, 105.55947220000002 -1.6543694000000073, 105.57856939999999 -1.6543694000000073, 105.57856939999999 -1.643072200000006, 105.58531390000002 -1.643072200000006, 105.58531390000002 -1.6541971999999987, 105.59330829999999 -1.6541971999999987, 105.59330829999999 -1.6486805999999774, 105.58980559999998 -1.6486805999999774, 105.58980559999998 -1.6374417000000108, 105.5758333 -1.6374417000000108, 105.5758333 -1.6305472000000236, 105.5960556 -1.6305472000000236, 105.5960556 -1.6353444000000081, 105.5998722 -1.6353444000000081, 105.5998722 -1.655002799999977, 105.6025917 -1.655002799999977, 105.6025917 -1.651124999999979, 105.60737219999999 -1.651124999999979, 105.60737219999999 -1.647463899999991, 105.6111472 -1.647463899999991, 105.6111472 -1.635575000000017, 105.62853890000002 -1.635575000000017, 105.62853890000002 -1.6302777999999876, 105.63196390000002 -1.6302777999999876, 105.63196390000002 -1.6308917000000065, 105.6335833 -1.6308917000000065, 105.6335833 -1.6314805999999749, 105.6349194 -1.6314805999999749, 105.6349194 -1.6319750000000113, 105.63638889999999 -1.6319750000000113, 105.63638889999999 -1.6430556000000252, 105.64093889999998 -1.6430556000000252, 105.64093889999998 -1.6436833000000206, 105.64208889999998 -1.6436833000000206, 105.64208889999998 -1.6447416999999973, 105.6435889 -1.6447416999999973, 105.6435889 -1.6459500000000276, 105.6456556 -1.6459500000000276, 105.6456556 -1.6464778000000138, 105.65020833300002 -1.646477778000019))",KADALUARSA
4260.0,SUMATERA,BUPATI,19,KEPULAUAN BANGKA BELITUNG,05,BANGKA BARAT,KELAPA,,IUP,PT,TIMAH TBK,3119052112014074,188.45/ 092 /2.03.02/2010,2010-04-28,2025-07-20,OPERASI PRODUKSI,4753.0,TIMAH,CNC-3,,,S. MANCUNG / MANCUNG-P.BERAS KEC. KELAPA,"POLYGON ((105.54827060000002 -1.8960592259999771, 105.55245978200003 -1.8960603040000024, 105.55245615899997 -1.9093722110000044, 105.56924560599998 -1.9093767410000169, 105.569244432 -1.91391656899998, 105.574673163 -1.9139180039999815, 105.574671464 -1.9203840330000048, 105.57832957699998 -1.9203849620000142, 105.57833235800001 -1.9096595089999937, 105.58333861400001 -1.909660792000011, 105.58333405299999 -1.9277114289999986, 105.59033579099997 -1.927713252999979, 105.59033865200001 -1.9159658419999914, 105.61538816500001 -1.9159718989999988, 105.61537903099997 -1.955410320999988, 105.61122648899999 -1.9554093149999972, 105.61122321800002 -1.969272898999975, 105.559675416 -1.9692598149999867, 105.55967420299999 -1.9736187490000248, 105.516341565 -1.9736064370000008, 105.51634684200002 -1.9557817310000019, 105.51045949799999 -1.9557800150000162, 105.51046046800002 -1.952605759999983, 105.50334183299998 -1.9526035779999802, 105.503343115 -1.948434548000023, 105.510623512 -1.948436775999994, 105.51062428799997 -1.9458413120000273, 105.506876218 -1.945840096999973, 105.50687769899997 -1.941110459000015, 105.500361296 -1.9411084320000214, 105.50036242300001 -1.9373734700000114, 105.51020439899997 -1.937376487999984, 105.51020336300002 -1.940849137999976, 105.51440079899999 -1.9408504819999735, 105.514399319 -1.945761014000027, 105.51693403799999 -1.9457617720000258, 105.51693742700002 -1.9342132969999852, 105.502772236 -1.934208984999998, 105.50277356800001 -1.9296601539999756, 105.51746906 -1.9296645850000118, 105.51746820800003 -1.9324861729999725, 105.52190835900001 -1.9324875199999951, 105.52190169800002 -1.955222741, 105.524876764 -1.9552236170000015, 105.52487434099999 -1.963634006999996, 105.541304879 -1.963638775999982, 105.54130871900003 -1.949946964999981, 105.536544977 -1.9499456049999822, 105.53654601400001 -1.9461925749999978, 105.530874552 -1.9461909429999764, 105.53087727299999 -1.936613938999983, 105.52362386300001 -1.9366118670000105, 105.52362636100003 -1.928065796999988, 105.52708678599998 -1.9280668029999788, 105.52708880699998 -1.9208863499999893, 105.53305690399998 -1.9208880150000027, 105.533055015 -1.92746262899999, 105.53601208499998 -1.927463504000002, 105.53600879499999 -1.9389576749999833, 105.53831877099998 -1.938958384999978, 105.53831790599997 -1.9420874009999807, 105.542003002 -1.942088388000002, 105.542004657 -1.9361016170000198, 105.53843642200002 -1.9361006799999814, 105.53843760500001 -1.9318593130000181, 105.54725492400001 -1.931861724999976, 105.54725205800003 -1.942107942000007, 105.55029003599998 -1.9421088490000216, 105.55028414200001 -1.963650298999994, 105.562076746 -1.9636534979999851, 105.56208004899997 -1.951309249000019, 105.56992668700002 -1.9513112959999717, 105.56992582200002 -1.954684508000014, 105.57963895099999 -1.954760307000015, 105.579587151 -1.962600626999972, 105.58923236700002 -1.9625972370000113, 105.58931601400002 -1.944126825000012, 105.58516348 -1.9441257459999974, 105.585164867 -1.9386725780000233, 105.581884248 -1.9386717259999955, 105.58188518899999 -1.9349096789999862, 105.57727425399997 -1.9349084599999742, 105.57727525500002 -1.931065005999983, 105.57383286999999 -1.9310640990000252, 105.57383383500002 -1.9270849690000205, 105.56030682199997 -1.9270813589999989, 105.56030765999998 -1.9239704429999733, 105.54377872700002 -1.9239658739999754, 105.543780863 -1.9161795179999785, 105.54889504300002 -1.91618095299998, 105.54889369400001 -1.921019188999992, 105.555185322 -1.921020853000016, 105.55518767900003 -1.9124567370000136, 105.536762313 -1.9124515980000183, 105.53676330600001 -1.9089608709999766, 105.54370200300002 -1.9089628390000257, 105.543703816 -1.9024515510000128, 105.53913794200002 -1.9024502780000034, 105.53913894599998 -1.8989956419999885, 105.54827060000002 -1.8989982699999928, 105.54827060000002 -1.8960592259999771))",KADALUARSA
6208.0,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,04,KAB. BANGKA TENGAH,SUNGAISELAN DAN KOBA,,IUP,PT,MITRA STANIA KEMINGKING,3119042112014040,91203120501780007,2024-11-07,2035-01-13,OPERASI PRODUKSI,1206.4,TIMAH,CNC-1,,,KEC. SUNGAISELAN DAN KOBA,"MULTIPOLYGON (((106.18725863899999 -2.4670972220000067, 106.18725863899999 -2.456975, 106.19624166699998 -2.456975, 106.19624166699998 -2.4547111109999946, 106.20073611100003 -2.4547111109999946, 106.20073611100003 -2.4501805560000207, 106.22051666700003 -2.4501805560000207, 106.22051666700003 -2.465988889000016, 106.20902222199999 -2.465988889000016, 106.20902222199999 -2.4727944439999874, 106.19787500000001 -2.4727944439999874, 106.19787500000001 -2.4670972220000067, 106.18725863899999 -2.4670972220000067)), ((106.268180556 -2.453930555999989, 106.268180556 -2.456177777999983, 106.27717777800001 -2.456177777999983, 106.27717777800001 -2.458430555999996, 106.281675 -2.458430555999996, 106.281675 -2.475447222000014, 106.26280555599999 -2.475447222000014, 106.26280555599999 -2.4683916669999917, 106.25740277800003 -2.4683916669999917, 106.25740277800003 -2.453930555999989, 106.268180556 -2.453930555999989)))",AKTIF
175999.0,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,02,KAB. BELITUNG,,,IUP,PT,SINAR INDAH SELARAS,3119022112014017,1097/1/IUP/PMDN/2022,2022-09-21,2041-10-22,OPERASI PRODUKSI,5015.0,TIMAH,CNC-12,,,"AIR SERUK, SIJUK","POLYGON ((107.83300000000003 -2.6810500000000275, 107.83999999999997 -2.6810500000000275, 107.83999999999997 -2.6733194440000148, 107.846 -2.6733194440000148, 107.846 -2.6770888890000037, 107.85199999999998 -2.6770888890000037, 107.85199999999998 -2.6800777779999976, 107.856 -2.6800777779999976, 107.856 -2.691550989999996, 107.856 -2.696327778000011, 107.862842113 -2.696327778000011, 107.862842113 -2.7029921559999934, 107.80784211299999 -2.7029921559999934, 107.80784211299999 -2.7071191140000224, 107.78984211300002 -2.7071191140000224, 107.78984211300002 -2.7123894910000104, 107.78384211299999 -2.7123894910000104, 107.78384211299999 -2.7126778659999786, 107.78399999999999 -2.7126444439999773, 107.78399999999999 -2.7175694439999916, 107.757 -2.7175694439999916, 107.757 -2.711838888999978, 107.74900000000002 -2.711838888999978, 107.74900000000002 -2.6785416669999904, 107.75494444399999 -2.6785416669999904, 107.75494444399999 -2.6670166669999844, 107.78477222200002 -2.6670166669999844, 107.78477222200002 -2.6566555559999756, 107.80900000000003 -2.6566555559999756, 107.80900000000003 -2.659477777999996, 107.827 -2.659477777999996, 107.827 -2.6682777780000038, 107.82189537300002 -2.6682777780000038, 107.82100000000003 -2.6682777780000038, 107.82100000000003 -2.6750583329999813, 107.815 -2.6750583329999813, 107.815 -2.6831888890000073, 107.80799999999999 -2.6831888890000073, 107.80799999999999 -2.696158333000028, 107.82636111099998 -2.696158333000028, 107.82636111099998 -2.690488888999994, 107.83300000000003 -2.690488888999994, 107.83300000000003 -2.6810500000000275))",AKTIF
158780.0,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,BELITUNG,SIJUK,,IUP,PT,TIMAH TBK,2119022112019128,188.44/1019/DPE/2016,2016-10-25,2025-07-21,OPERASI PRODUKSI,134.3,TIMAH,CNC-17,,,"KEC. SIJUK, KAB. BELITUNG","POLYGON ((107.811586111 -2.5378861109999775, 107.811586111 -2.5310499999999934, 107.83085 -2.5310499999999934, 107.83085 -2.537725000000023, 107.82685277799999 -2.537725000000023, 107.82685277799999 -2.5353666670000052, 107.823322222 -2.5353666670000052, 107.823322222 -2.534772222000015, 107.82009166699999 -2.534772222000015, 107.82009166699999 -2.535205555999994, 107.81953333299998 -2.535205555999994, 107.81953333299998 -2.5360305560000143, 107.817277778 -2.5360305560000143, 107.817277778 -2.536494444000027, 107.81705555600001 -2.536494444000027, 107.81705555600001 -2.5367722220000246, 107.81683611099999 -2.5367722220000246, 107.81683611099999 -2.5369999999999777, 107.81651388900002 -2.5369999999999777, 107.81651388900002 -2.537341667000021, 107.81608888900001 -2.537341667000021, 107.81608888900001 -2.5379166669999904, 107.81565833299999 -2.5379166669999904, 107.81565833299999 -2.5377055559999917, 107.81507222200003 -2.5377055559999917, 107.81507222200003 -2.5376416670000026, 107.81471944399999 -2.5376416670000026, 107.81471944399999 -2.537780555999973, 107.81446111100001 -2.537780555999973, 107.81446111100001 -2.538063889, 107.814297222 -2.538063889, 107.814297222 -2.53946111099998, 107.81393888899999 -2.53946111099998, 107.81393888899999 -2.5392777779999847, 107.81339722199999 -2.5392777779999847, 107.81339722199999 -2.5392083329999764, 107.81298333299998 -2.5392083329999764, 107.81298333299998 -2.54043055599999, 107.81237222200002 -2.54043055599999, 107.81237222200002 -2.538566666999998, 107.81222777800002 -2.538566666999998, 107.81222777800002 -2.5379722220000076, 107.81177500000001 -2.5379722220000076, 107.81177500000001 -2.5378861109999775, 107.811586111 -2.5378861109999775))",KADALUARSA
49204.0,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,06,KAB. BELITUNG TIMUR,SIMPANG PESAK,SIMPANG PESAK,IUP,PT,TOMMY UTAMA,3119062112014152,02200031608390009,2023-08-18,2033-04-30,OPERASI PRODUKSI,190.8,TIMAH,CNC-9,,,"DESA SIMPANG PESAK, KECAMATAN SIMPANG PESAK","POLYGON ((107.984333333 -3.075680556000009, 108.004777778 -3.075680556000009, 108.004777778 -3.088694443999998, 108.00155555600003 -3.088694443999998, 108.00155555600003 -3.0899166670000113, 107.99952777800002 -3.0899166670000113, 107.99952777800002 -3.0907638890000158, 107.99644444400002 -3.0907638890000158, 107.99644444400002 -3.0787500000000136, 107.984333333 -3.0787500000000136, 107.984333333 -3.075680556000009))",AKTIF
